Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Stamp duty reserve tax,Currency (Stamp duty reserve tax),Finra fee,Notes,ID,Currency conversion fee,Currency (Currency conversion fee),Currency (Finra fee)
Limit buy,2021-05-06 13:30:00,US92346J1088,VCEL,Vericel,2,56.65,USD,1.38984,,GBP,81.64,GBP,,,,,,,EOF1323907303,0.12,GBP,
Limit buy,2021-05-06 13:30:01,US14427M1071,PRTS,CarParts.com,7,15.86,USD,1.38983,,GBP,80,GBP,,,,,,,EOF1323907315,0.12,GBP,
Limit buy,2021-05-06 13:30:02,US31189P1021,FATE,Fate Therapeutics,2,73.5,USD,1.38993,,GBP,105.92,GBP,,,,,,,EOF1323907755,0.16,GBP,
Limit buy,2021-05-06 13:30:03,US40637H1095,HALO,Halozyme Therapeutics,3,47.56,USD,1.38983,,GBP,102.81,GBP,,,,,,,EOF1323907994,0.15,GBP,
Limit buy,2021-05-06 13:30:03,US1281262089,CAMPQ,CalAmp,9,12.3,USD,1.38983,,GBP,79.77,GBP,,,,,,,EOF1323907980,0.12,GBP,
Limit buy,2021-05-06 13:30:03,US63009R1095,NSTGQ,NanoString Technologies,2,67.5,USD,1.38988,,GBP,97.28,GBP,,,,,,,EOF1323908037,0.15,GBP,
Limit buy,2021-05-07 13:30:01,US45686J1043,IEA,Infrastructure and Energy Alter,9,12.22,USD,1.39215,,GBP,79.12,GBP,,,,,,,EOF1327326717,0.12,GBP,
Limit buy,2021-05-07 13:31:42,US7672921050,RIOT,Riot Platforms,3,33.5,USD,1.39196,,GBP,72.31,GBP,,,,,,,EOF1327333754,0.11,GBP,
Limit buy,2021-05-07 13:31:43,US5657881067,MARA,MARA Holdings,4,31.45,USD,1.3919,,GBP,90.52,GBP,,,,,,,EOF1327333763,0.14,GBP,
Market sell,2021-05-11 13:30:08,US63009R1095,NSTGQ,NanoString Technologies,2,55,USD,1.41279,-19.27,GBP,77.74,GBP,,,,,,,EOF1332876777,0.12,GBP,
Market sell,2021-05-12 13:30:03,US40637H1095,HALO,Halozyme Therapeutics,3,41.91,USD,1.41126,-13.57,GBP,88.96,GBP,,,,,0,,EOF1334932104,0.13,GBP,GBP
Market sell,2021-05-12 15:38:28,US8962391004,TRMB,Trimble,2,74.62,USD,1.40965,-9.29,GBP,105.71,GBP,,,,,,,EOF1336119406,0.16,GBP,
Market sell,2021-05-12 15:38:36,CA1366351098,CSIQ,Canadian Solar,3,35.88,USD,1.40963,-12.83,GBP,76.25,GBP,,,,,,,EOF1336119437,0.11,GBP,
Market sell,2021-05-12 15:39:20,US45686J1043,IEA,Infrastructure and Energy Alter,9,11.74,USD,1.40973,-4.05,GBP,74.84,GBP,,,,,,,EOF1336119526,0.11,GBP,
Market sell,2021-05-12 15:39:20,US31189P1021,FATE,Fate Therapeutics,2,73.44,USD,1.40959,-1.56,GBP,104.04,GBP,,,,,,,EOF1336119527,0.16,GBP,
Market sell,2021-05-12 15:39:22,US3596641098,FLGT,Fulgent Genetics,2,69.78,USD,1.40969,-11.99,GBP,98.85,GBP,,,,,,,EOF1336119538,0.15,GBP,
Market sell,2021-05-12 15:39:24,US0545402085,ACLS,Axcelis Technologies,3,36.7,USD,1.40973,-10.16,GBP,77.98,GBP,,,,,,,EOF1336119547,0.12,GBP,
Market sell,2021-05-12 15:39:26,US92346J1088,VCEL,Vericel,2,48.46,USD,1.40974,-12.77,GBP,68.65,GBP,,,,,,,EOF1336119556,0.1,GBP,
Market sell,2021-05-12 15:39:26,US5657881067,MARA,MARA Holdings,4,24.35,USD,1.40975,-21.29,GBP,68.99,GBP,,,,,,,EOF1336119557,0.1,GBP,
Market sell,2021-05-12 15:39:41,US14427M1071,PRTS,CarParts.com,7,15.47,USD,1.40984,-3.07,GBP,76.69,GBP,,,,,0,,EOF1336119582,0.12,GBP,GBP
Market sell,2021-05-12 15:39:42,US7672921050,RIOT,Riot Platforms,3,27.97,USD,1.40977,-12.68,GBP,59.43,GBP,,,,,,,EOF1336119583,0.09,GBP,
Market sell,2021-05-12 15:40:21,US88322Q1085,TGTX,TG Therapeutics,3,36.92,USD,1.40951,-9.99,GBP,78.46,GBP,,,,,,,EOF1336119654,0.12,GBP,
Market sell,2021-05-12 15:40:30,US1281262089,CAMPQ,CalAmp,9,12.07,USD,1.40949,-2.58,GBP,76.95,GBP,,,,,,,EOF1336119669,0.12,GBP,
Withdrawal,2021-05-12 16:00:10,,,,,,,,,,-1180.81,GBP,,,,,,Sent to card *8608,3b4c4549-1c1b-48b0-86ba-7b778b319b0a,,,
Deposit,2021-05-13 22:47:14,,,,,,,,,,1100,GBP,,,,,,Transaction ID: 8ab44471-6d98-4666-8ef6-2b4cc178b499,ebf57403-5a29-4cec-99bb-388de4343d4f,,,
Withdrawal,2021-05-13 22:47:55,,,,,,,,,,-1100,GBP,,,,,,,af425ec1-4c7c-4c8e-8502-e9bddba20a48,,,
Deposit,2021-07-29 16:54:26,,,,,,,,,,8,GBP,,,,,,Transaction ID: 5cdc5b3c-288b-4f58-b247-e268b0ecc076,6e557039-c319-4956-929f-cc7d1bb73cb1,,,
Deposit,2021-07-29 16:55:58,,,,,,,,,,2,GBP,,,,,,Transaction ID: be30402b-0318-4b3a-97d4-d1efdd1a2ef1,9fbd51a5-ad22-40db-9f65-05c934d68653,,,
Withdrawal,2021-07-29 16:56:11,,,,,,,,,,-10,GBP,,,,,,,66820129-4a88-4421-8f87-212f78ad8023,,,
Deposit,2021-07-29 18:52:15,,,,,,,,,,500,GBP,,,,,,,6670bc3f-d504-4459-abc3-6e2208d41450,,,
Withdrawal,2021-07-29 18:53:45,,,,,,,,,,-500,GBP,,,,,,,3f80cbc6-6f73-45e1-96c1-0ac4dcf95e00,,,
Deposit,2021-08-30 11:23:54,,,,,,,,,,16,GBP,,,,,,Transaction ID: 4d71995f-3493-4531-a7f9-c5c1e2609858,2d1471e2-847e-4451-9a1d-b6ff896f3165,,,
Withdrawal,2021-08-30 11:24:32,,,,,,,,,,-16,GBP,,,,,,,a8ca1009-0ae3-467f-917d-76760a9efea4,,,
Deposit,2021-09-20 15:58:24,,,,,,,,,,50,GBP,,,,,,Transaction ID: 191c7b8e-f758-4129-9f75-110f6a6c17e4,59f489c9-b055-446c-84e3-21b32a592459,,,
Withdrawal,2021-09-20 15:59:25,,,,,,,,,,-50,GBP,,,,,,,9411f933-5210-439c-a87b-53c49996dd3f,,,
